gene,population,source
Dlx5,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Arx,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Dlx2,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Dlx1,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Elavl2,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Sp9,Interneurons,http://science.sciencemag.org/content/347/6226/1138.full
Tbr1,S1Pyramidal_ExcitatoryNeurons,http://science.sciencemag.org/content/347/6226/1138.full
Pou3f1,CA1Pyramidal,http://science.sciencemag.org/content/347/6226/1138.full
Lmo1,CA1Pyramidal,http://science.sciencemag.org/content/347/6226/1138.full
Heyl,Vsmc_Peric,http://science.sciencemag.org/content/347/6226/1138.full
Tbx2,Vsmc_Peric,http://science.sciencemag.org/content/347/6226/1138.full
Foxs1,Vsmc_Peric,http://science.sciencemag.org/content/347/6226/1138.full
Tbx18,Vsmc_Peric,http://science.sciencemag.org/content/347/6226/1138.full
Bcl6b,Vend,http://science.sciencemag.org/content/347/6226/1138.full
Meox1,Vend,http://science.sciencemag.org/content/347/6226/1138.full
Nmi,Vend,http://science.sciencemag.org/content/347/6226/1138.full
Sox7,Vend,http://science.sciencemag.org/content/347/6226/1138.full
Foxl2,Vend,http://science.sciencemag.org/content/347/6226/1138.full
Irf8,Microglia,http://science.sciencemag.org/content/347/6226/1138.full
Nlrp3,Microglia,http://science.sciencemag.org/content/347/6226/1138.full
Irf5,Microglia,http://science.sciencemag.org/content/347/6226/1138.full
Hcls1,Microglia,http://science.sciencemag.org/content/347/6226/1138.full
Spi1,Microglia,http://science.sciencemag.org/content/347/6226/1138.full
Dbx2,Astrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Sall3,Astrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Sox21,Astrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Nkx6-2,Oligodendrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Sox10,Oligodendrocytes,http://science.sciencemag.org/content/347/6226/1138.full
St18,Oligodendrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Olig1,Oligodendrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Olig2,Oligodendrocytes,http://science.sciencemag.org/content/347/6226/1138.full
Snap25,Neurons,https://www.nature.com/articles/nn.4216
Gad1,GABAergic_InhibitoryNeurons,https://www.nature.com/articles/nn.4217
Vip,VipGABAergicNeurons,https://www.nature.com/articles/nn.4218
Sst,SstGABAergicNeurons,https://www.nature.com/articles/nn.4219
Pvalb,PvalbGABAergicNeurons,https://www.nature.com/articles/nn.4220
Slc17a7,GlutamatergicNeurons,https://www.nature.com/articles/nn.4221
Rorb,GlutamatergicNeuronsL4L5a,https://www.nature.com/articles/nn.4222
Foxp2,GlutamatergicNeuronsL6,https://www.nature.com/articles/nn.4223
Aqp4,Astrocytes,https://www.nature.com/articles/nn.4224
Pdgfra,OligodendrocytePrecursors,https://www.nature.com/articles/nn.4225
Mog,Oligodendrocytes,https://www.nature.com/articles/nn.4226
Itgam,Microglia,https://www.nature.com/articles/nn.4227
Flt1,Endothelial,https://www.nature.com/articles/nn.4228
Bgn,SMC,https://www.nature.com/articles/nn.4229
Myl9,SMC,https://www.nature.com/articles/nn.4230
Crip1,SMC,https://www.nature.com/articles/nn.4231
Vtn,SMC,https://www.nature.com/articles/nn.4232
Id1,Endothelial,https://www.nature.com/articles/nn.4233
Xdh,Endothelial,https://www.nature.com/articles/nn.4234
Tbc1d4,Endothelial,https://www.nature.com/articles/nn.4235
Exosc7,Endothelial,https://www.nature.com/articles/nn.4236
Ctss,Microglia,https://www.nature.com/articles/nn.4237
Cx3cr1,Microglia,https://www.nature.com/articles/nn.4238
C1qb,Microglia,https://www.nature.com/articles/nn.4239
Gpr34,Microglia,https://www.nature.com/articles/nn.4240
Opalin,Oligodendrocytes,https://www.nature.com/articles/nn.4241
Mag,Oligodendrocytes,https://www.nature.com/articles/nn.4242
Mbp,Oligodendrocytes,https://www.nature.com/articles/nn.4243
Cspg4,OligodendrocytePrecursors,https://www.nature.com/articles/nn.4244
Pcdh15,OligodendrocytePrecursors,https://www.nature.com/articles/nn.4245
Gria3,OligodendrocytePrecursors,https://www.nature.com/articles/nn.4246
Cxcl14,Astrocytes,https://www.nature.com/articles/nn.4247
Gja1,Astrocytes,https://www.nature.com/articles/nn.4248
F3,Astrocytes,https://www.nature.com/articles/nn.4249
Sox9,Astrocytes,https://www.nature.com/articles/nn.4250
Stmn2,Neurons,10xGenomicsChromiumWP
Hes1,Glial,10xGenomicsChromiumWP
Aldoc,Astrocytes,10xGenomicsChromiumWP
Oligo1,Oligodendrocytes,10xGenomicsChromiumWP
